item_id,order_id,product_id,quantity,unit_price,discount_pct_x,final_price,line_total,cost_total,customer_id,order_date,status,payment_method,discount_pct_y,shipping_cost,first_name,last_name,email,region,segment,acquisition_channel,registration_date,age,gender,product_name,category,subcategory,cost_price,rating,year,month,month_name,quarter,profit
ITEM0000007025,ORD0000007,PROD0026,5,1472.3,0.0,1472.3,7361.5,2944.35,CUST00386,2024-07-05,Delivered,UPI,0.0,12.16,Emma,Wilson,user386@email.com,West,B2C,Direct,2022-10-16,36,Male,Running Shoes Ultra,Sports,Running Shoes,588.87,2.8,2024,7,Jul,2024Q3,4417.15
ITEM0000007133,ORD0000007,PROD0134,5,270.81,0.0,270.81,1354.05,409.05,CUST00386,2024-07-05,Delivered,UPI,0.0,12.16,Emma,Wilson,user386@email.com,West,B2C,Direct,2022-10-16,36,Male,Hoodie Ultra,Clothing,Hoodie,81.81,3.7,2024,7,Jul,2024Q3,945.0
ITEM0000007023,ORD0000007,PROD0024,5,39.44,0.0,39.44,197.2,89.4,CUST00386,2024-07-05,Delivered,UPI,0.0,12.16,Emma,Wilson,user386@email.com,West,B2C,Direct,2022-10-16,36,Male,Yoga Mat Pro,Sports,Yoga Mat,17.88,3.8,2024,7,Jul,2024Q3,107.79999999999998
ITEM0000007082,ORD0000007,PROD0083,5,1403.5,0.0,1403.5,7017.5,2871.45,CUST00386,2024-07-05,Delivered,UPI,0.0,12.16,Emma,Wilson,user386@email.com,West,B2C,Direct,2022-10-16,36,Male,Headphones Ultra,Electronics,Headphones,574.29,4.6,2024,7,Jul,2024Q3,4146.05
ITEM0000008050,ORD0000008,PROD0051,4,92.57,0.05,87.94,351.76,144.0,CUST01069,2023-10-01,Delivered,PayPal,0.05,4.8,Sanjay,Shah,user1069@email.com,West,B2C,Social Media,2022-11-29,25,Female,Dress Plus,Clothing,Dress,36.0,4.3,2023,10,Oct,2023Q4,207.76
ITEM0000008074,ORD0000008,PROD0075,4,433.01,0.05,411.36,1645.44,1376.32,CUST01069,2023-10-01,Delivered,PayPal,0.05,4.8,Sanjay,Shah,user1069@email.com,West,B2C,Social Media,2022-11-29,25,Female,Foundation Ultra,Beauty,Foundation,344.08,2.7,2023,10,Oct,2023Q4,269.1200000000001
ITEM0000009099,ORD0000009,PROD0100,4,1277.87,0.0,1277.87,5111.48,2771.24,CUST00892,2023-10-04,Delivered,Credit Card,0.0,4.82,Nikhil,Williams,user892@email.com,Central,B2C,Social Media,2022-02-26,20,Other,Rug Elite,Home & Garden,Rug,692.81,3.1,2023,10,Oct,2023Q4,2340.24
ITEM0000009078,ORD0000009,PROD0079,3,224.63,0.0,224.63,673.89,544.14,CUST00892,2023-10-04,Delivered,Credit Card,0.0,4.82,Nikhil,Williams,user892@email.com,Central,B2C,Social Media,2022-02-26,20,Other,Sunscreen Elite,Beauty,Sunscreen,181.38,4.0,2023,10,Oct,2023Q4,129.75
ITEM0000010146,ORD0000010,PROD0147,5,1147.03,0.05,1089.68,5448.4,2921.45,CUST01579,2024-12-02,Delivered,Credit Card,0.05,2.82,Priya,Shah,user1579@email.com,Central,B2C,Affiliate,2024-09-27,24,Female,Cycling Helmet Pro,Sports,Cycling Helmet,584.29,3.5,2024,12,Dec,2024Q4,2526.95
ITEM0000011090,ORD0000011,PROD0091,5,1170.84,0.05,1112.3,5561.5,3778.75,CUST00356,2023-11-27,Delivered,Credit Card,0.05,14.5,Suresh,Shah,user356@email.com,East,B2C,Referral,2022-07-28,23,Female,Dress Basic,Clothing,Dress,755.75,4.2,2023,11,Nov,2023Q4,1782.75
ITEM0000012011,ORD0000012,PROD0012,1,2573.2,0.05,2444.54,2444.54,761.88,CUST00108,2024-06-28,Delivered,Debit Card,0.05,7.63,Anjali,Davis,user108@email.com,Central,B2C,Referral,2023-07-28,53,Female,Sneakers Basic,Clothing,Sneakers,761.88,4.9,2024,6,Jun,2024Q2,1682.6599999999999
ITEM0000012054,ORD0000012,PROD0055,4,1316.97,0.05,1251.12,5004.48,2910.56,CUST00108,2024-06-28,Delivered,Debit Card,0.05,7.63,Anjali,Davis,user108@email.com,Central,B2C,Referral,2023-07-28,53,Female,Shorts Elite,Clothing,Shorts,727.64,4.5,2024,6,Jun,2024Q2,2093.9199999999996
ITEM0000015079,ORD0000015,PROD0080,4,1095.16,0.0,1095.16,4380.64,1809.96,CUST00291,2023-09-22,Delivered,UPI,0.0,10.21,Anjali,Miller,user291@email.com,West,B2C,Social Media,2022-09-05,49,Male,Smartphone Pro,Electronics,Smartphone,452.49,3.8,2023,9,Sep,2023Q3,2570.6800000000003
ITEM0000015052,ORD0000015,PROD0053,1,646.04,0.0,646.04,646.04,417.29,CUST00291,2023-09-22,Delivered,UPI,0.0,10.21,Anjali,Miller,user291@email.com,West,B2C,Social Media,2022-09-05,49,Male,Boots Plus,Clothing,Boots,417.29,4.7,2023,9,Sep,2023Q3,228.74999999999994
ITEM0000015069,ORD0000015,PROD0070,4,1063.47,0.0,1063.47,4253.88,1839.24,CUST00291,2023-09-22,Delivered,UPI,0.0,10.21,Anjali,Miller,user291@email.com,West,B2C,Social Media,2022-09-05,49,Male,Backpack Elite,Sports,Backpack,459.81,4.1,2023,9,Sep,2023Q3,2414.6400000000003
ITEM0000016002,ORD0000016,PROD0003,1,965.88,0.1,869.29,869.29,336.44,CUST01687,2024-05-20,Delivered,Debit Card,0.1,12.25,Nikhil,Mehta,user1687@email.com,Central,Enterprise,Direct,2022-08-17,53,Other,Headphones Plus,Electronics,Headphones,336.44,3.2,2024,5,May,2024Q2,532.8499999999999
ITEM0000016101,ORD0000016,PROD0102,4,1324.98,0.1,1192.48,4769.92,2287.64,CUST01687,2024-05-20,Delivered,Debit Card,0.1,12.25,Nikhil,Mehta,user1687@email.com,Central,Enterprise,Direct,2022-08-17,53,Other,Plant Pot Ultra,Home & Garden,Plant Pot,571.91,3.1,2024,5,May,2024Q2,2482.28
ITEM0000017125,ORD0000017,PROD0126,3,1001.16,0.0,1001.16,3003.48,2382.54,CUST00264,2024-12-23,Delivered,Credit Card,0.0,1.73,Ananya,Sharma,user264@email.com,South,B2B,Referral,2024-11-21,46,Male,Speaker Plus,Electronics,Speaker,794.18,4.2,2024,12,Dec,2024Q4,620.94
ITEM0000017017,ORD0000017,PROD0018,2,513.98,0.0,513.98,1027.96,424.54,CUST00264,2024-12-23,Delivered,Credit Card,0.0,1.73,Ananya,Sharma,user264@email.com,South,B2B,Referral,2024-11-21,46,Male,Blender Elite,Home & Garden,Blender,212.27,2.6,2024,12,Dec,2024Q4,603.4200000000001
ITEM0000017046,ORD0000017,PROD0047,3,1473.13,0.0,1473.13,4419.39,2010.15,CUST00264,2024-12-23,Delivered,Credit Card,0.0,1.73,Ananya,Sharma,user264@email.com,South,B2B,Referral,2024-11-21,46,Male,Monitor Elite,Electronics,Monitor,670.05,5.0,2024,12,Dec,2024Q4,2409.2400000000002
ITEM0000017137,ORD0000017,PROD0138,4,50.39,0.0,50.39,201.56,90.32,CUST00264,2024-12-23,Delivered,Credit Card,0.0,1.73,Ananya,Sharma,user264@email.com,South,B2B,Referral,2024-11-21,46,Male,Blender Pro,Home & Garden,Blender,22.58,3.4,2024,12,Dec,2024Q4,111.24000000000001
ITEM0000018051,ORD0000018,PROD0052,1,647.34,0.15,550.24,550.24,300.5,CUST00584,2024-08-27,Delivered,PayPal,0.15,1.63,Kavya,Joshi,user584@email.com,South,Enterprise,Affiliate,2024-02-01,43,Male,Sneakers Plus,Clothing,Sneakers,300.5,2.9,2024,8,Aug,2024Q3,249.74
ITEM0000019058,ORD0000019,PROD0059,1,806.32,0.0,806.32,806.32,374.22,CUST01137,2024-12-06,Delivered,Credit Card,0.0,7.03,Divya,Garcia,user1137@email.com,West,B2C,Affiliate,2023-02-18,31,Other,Coffee Maker Ultra,Home & Garden,Coffee Maker,374.22,2.8,2024,12,Dec,2024Q4,432.1
ITEM0000020112,ORD0000020,PROD0113,4,1430.49,0.1,1287.44,5149.76,1795.96,CUST01707,2024-06-22,Delivered,Credit Card,0.1,3.63,Deepa,Joshi,user1707@email.com,North,B2C,Paid Search,2024-01-24,56,Male,Perfume Elite,Beauty,Perfume,448.99,3.5,2024,6,Jun,2024Q2,3353.8
ITEM0000020036,ORD0000020,PROD0037,5,1492.14,0.1,1342.93,6714.65,3819.8,CUST01707,2024-06-22,Delivered,Credit Card,0.1,3.63,Deepa,Joshi,user1707@email.com,North,B2C,Paid Search,2024-01-24,56,Male,Face Mask Elite,Beauty,Face Mask,763.96,3.1,2024,6,Jun,2024Q2,2894.8499999999995
ITEM0000021011,ORD0000021,PROD0012,2,2573.2,0.05,2444.54,4889.08,1523.76,CUST01576,2024-02-13,Delivered,Debit Card,0.05,11.53,Priya,Johnson,user1576@email.com,East,B2C,Affiliate,2024-01-29,57,Other,Sneakers Basic,Clothing,Sneakers,761.88,4.9,2024,2,Feb,2024Q1,3365.3199999999997
ITEM0000021145,ORD0000021,PROD0146,3,2155.57,0.05,2047.79,6143.37,1860.36,CUST01576,2024-02-13,Delivered,Debit Card,0.05,11.53,Priya,Johnson,user1576@email.com,East,B2C,Affiliate,2024-01-29,57,Other,Running Shoes Plus,Sports,Running Shoes,620.12,4.1,2024,2,Feb,2024Q1,4283.01
ITEM0000021003,ORD0000021,PROD0004,3,1301.7,0.05,1236.62,3709.86,2057.13,CUST01576,2024-02-13,Delivered,Debit Card,0.05,11.53,Priya,Johnson,user1576@email.com,East,B2C,Affiliate,2024-01-29,57,Other,Smartwatch Plus,Electronics,Smartwatch,685.71,3.3,2024,2,Feb,2024Q1,1652.73
ITEM0000022074,ORD0000022,PROD0075,5,433.01,0.0,433.01,2165.05,1720.4,CUST01888,2024-05-03,Delivered,Wallet,0.0,0.85,Meera,Gupta,user1888@email.com,North,B2C,Direct,2024-02-25,40,Male,Foundation Ultra,Beauty,Foundation,344.08,2.7,2024,5,May,2024Q2,444.6500000000001
ITEM0000023112,ORD0000023,PROD0113,1,1430.49,0.0,1430.49,1430.49,448.99,CUST00131,2024-04-30,Delivered,Wallet,0.0,10.82,Rahul,Garcia,user131@email.com,East,B2C,Social Media,2024-02-03,60,Male,Perfume Elite,Beauty,Perfume,448.99,3.5,2024,4,Apr,2024Q2,981.5
ITEM0000024014,ORD0000024,PROD0015,5,140.73,0.0,140.73,703.65,466.35,CUST01728,2023-08-11,Delivered,Debit Card,0.0,2.15,James,Wilson,user1728@email.com,Central,B2C,Social Media,2022-07-26,49,Female,Shorts Pro,Clothing,Shorts,93.27,4.9,2023,8,Aug,2023Q3,237.29999999999995
ITEM0000024028,ORD0000024,PROD0029,1,503.79,0.0,503.79,503.79,225.11,CUST01728,2023-08-11,Delivered,Debit Card,0.0,2.15,James,Wilson,user1728@email.com,Central,B2C,Social Media,2022-07-26,49,Female,Football Plus,Sports,Football,225.11,3.3,2023,8,Aug,2023Q3,278.68
ITEM0000024016,ORD0000024,PROD0017,5,997.27,0.0,997.27,4986.35,2258.3,CUST01728,2023-08-11,Delivered,Debit Card,0.0,2.15,James,Wilson,user1728@email.com,Central,B2C,Social Media,2022-07-26,49,Female,Lamp Elite,Home & Garden,Lamp,451.66,3.9,2023,8,Aug,2023Q3,2728.05
ITEM0000024104,ORD0000024,PROD0105,2,1798.04,0.0,1798.04,3596.08,1342.74,CUST01728,2023-08-11,Delivered,Debit Card,0.0,2.15,James,Wilson,user1728@email.com,Central,B2C,Social Media,2022-07-26,49,Female,Dumbbell Set Pro,Sports,Dumbbell Set,671.37,2.7,2023,8,Aug,2023Q3,2253.34
ITEM0000024132,ORD0000024,PROD0133,3,355.67,0.0,355.67,1067.01,335.76,CUST01728,2023-08-11,Delivered,Debit Card,0.0,2.15,James,Wilson,user1728@email.com,Central,B2C,Social Media,2022-07-26,49,Female,Boots Plus,Clothing,Boots,111.92,3.8,2023,8,Aug,2023Q3,731.25
ITEM0000025014,ORD0000025,PROD0015,4,140.73,0.0,140.73,562.92,373.08,CUST00759,2024-09-21,Delivered,Debit Card,0.0,0.09,Noah,Wilson,user759@email.com,West,B2C,Referral,2024-09-14,52,Female,Shorts Pro,Clothing,Shorts,93.27,4.9,2024,9,Sep,2024Q3,189.83999999999997
ITEM0000026005,ORD0000026,PROD0006,5,994.05,0.0,994.05,4970.25,1683.05,CUST01575,2024-04-20,Delivered,Wallet,0.0,0.53,Anjali,Verma,user1575@email.com,West,B2C,Paid Search,2023-02-05,25,Other,Speaker Basic,Electronics,Speaker,336.61,4.9,2024,4,Apr,2024Q2,3287.2
ITEM0000026121,ORD0000026,PROD0122,4,1681.92,0.0,1681.92,6727.68,2128.96,CUST01575,2024-04-20,Delivered,Wallet,0.0,0.53,Anjali,Verma,user1575@email.com,West,B2C,Paid Search,2023-02-05,25,Other,Tablet Plus,Electronics,Tablet,532.24,3.4,2024,4,Apr,2024Q2,4598.72
ITEM0000027116,ORD0000027,PROD0117,4,318.31,0.1,286.48,1145.92,612.08,CUST00579,2024-08-24,Delivered,Wallet,0.1,7.36,Anjali,Williams,user579@email.com,North,B2C,Paid Search,2023-10-29,64,Female,Face Mask Elite,Beauty,Face Mask,153.02,4.3,2024,8,Aug,2024Q3,533.84
ITEM0000028044,ORD0000028,PROD0045,3,912.46,0.15,775.59,2326.77,1154.97,CUST01883,2024-03-17,Delivered,Debit Card,0.15,2.17,James,Patel,user1883@email.com,East,B2C,Direct,2023-11-20,35,Male,Camera Basic,Electronics,Camera,384.99,2.5,2024,3,Mar,2024Q1,1171.8
ITEM0000028099,ORD0000028,PROD0100,2,1277.87,0.15,1086.19,2172.38,1385.62,CUST01883,2024-03-17,Delivered,Debit Card,0.15,2.17,James,Patel,user1883@email.com,East,B2C,Direct,2023-11-20,35,Male,Rug Elite,Home & Garden,Rug,692.81,3.1,2024,3,Mar,2024Q1,786.7600000000002
ITEM0000029138,ORD0000029,PROD0139,2,762.92,0.0,762.92,1525.84,1133.04,CUST00754,2022-03-14,Delivered,Credit Card,0.0,6.9,William,Williams,user754@email.com,Central,B2B,Organic Search,2022-02-10,24,Female,Coffee Maker Elite,Home & Garden,Coffee Maker,566.52,4.9,2022,3,Mar,2022Q1,392.79999999999995
ITEM0000029058,ORD0000029,PROD0059,3,806.32,0.0,806.32,2418.96,1122.66,CUST00754,2022-03-14,Delivered,Credit Card,0.0,6.9,William,Williams,user754@email.com,Central,B2B,Organic Search,2022-02-10,24,Female,Coffee Maker Ultra,Home & Garden,Coffee Maker,374.22,2.8,2022,3,Mar,2022Q1,1296.3
ITEM0000029102,ORD0000029,PROD0103,2,768.74,0.0,768.74,1537.48,1068.34,CUST00754,2022-03-14,Delivered,Credit Card,0.0,6.9,William,Williams,user754@email.com,Central,B2B,Organic Search,2022-02-10,24,Female,Bookshelf Basic,Home & Garden,Bookshelf,534.17,4.0,2022,3,Mar,2022Q1,469.1400000000001
ITEM0000030118,ORD0000030,PROD0119,2,380.98,0.05,361.93,723.86,523.18,CUST01929,2024-06-26,Delivered,Wallet,0.05,6.78,Divya,Johnson,user1929@email.com,West,B2C,Social Media,2022-10-05,37,Other,Sunscreen Ultra,Beauty,Sunscreen,261.59,4.8,2024,6,Jun,2024Q2,200.68000000000006
ITEM0000030093,ORD0000030,PROD0094,5,1337.17,0.05,1270.31,6351.55,2978.05,CUST01929,2024-06-26,Delivered,Wallet,0.05,6.78,Divya,Johnson,user1929@email.com,West,B2C,Social Media,2022-10-05,37,Other,Hoodie Pro,Clothing,Hoodie,595.61,4.9,2024,6,Jun,2024Q2,3373.5
ITEM0000030086,ORD0000030,PROD0087,2,1509.16,0.05,1433.7,2867.4,1176.2,CUST01929,2024-06-26,Delivered,Wallet,0.05,6.78,Divya,Johnson,user1929@email.com,West,B2C,Social Media,2022-10-05,37,Other,Monitor Pro,Electronics,Monitor,588.1,4.4,2024,6,Jun,2024Q2,1691.2
ITEM0000030083,ORD0000030,PROD0084,2,150.5,0.05,142.98,285.96,87.78,CUST01929,2024-06-26,Delivered,Wallet,0.05,6.78,Divya,Johnson,user1929@email.com,West,B2C,Social Media,2022-10-05,37,Other,Smartwatch Basic,Electronics,Smartwatch,43.89,3.5,2024,6,Jun,2024Q2,198.17999999999998
ITEM0000030102,ORD0000030,PROD0103,2,768.74,0.05,730.3,1460.6,1068.34,CUST01929,2024-06-26,Delivered,Wallet,0.05,6.78,Divya,Johnson,user1929@email.com,West,B2C,Social Media,2022-10-05,37,Other,Bookshelf Basic,Home & Garden,Bookshelf,534.17,4.0,2024,6,Jun,2024Q2,392.26
ITEM0000031118,ORD0000031,PROD0119,4,380.98,0.15,323.83,1295.32,1046.36,CUST01460,2023-03-26,Delivered,Wallet,0.15,9.89,Noah,Patel,user1460@email.com,South,B2C,Affiliate,2022-06-03,42,Male,Sunscreen Ultra,Beauty,Sunscreen,261.59,4.8,2023,3,Mar,2023Q1,248.96000000000004
ITEM0000031140,ORD0000031,PROD0141,3,1902.6,0.15,1617.21,4851.63,1694.55,CUST01460,2023-03-26,Delivered,Wallet,0.15,9.89,Noah,Patel,user1460@email.com,South,B2C,Affiliate,2022-06-03,42,Male,Curtains Basic,Home & Garden,Curtains,564.85,4.2,2023,3,Mar,2023Q1,3157.08
ITEM0000032105,ORD0000032,PROD0106,2,493.42,0.0,493.42,986.84,389.4,CUST01319,2024-08-20,Delivered,Credit Card,0.0,8.14,Mia,Verma,user1319@email.com,North,B2B,Social Media,2024-04-23,40,Female,Running Shoes Ultra,Sports,Running Shoes,194.7,4.5,2024,8,Aug,2024Q3,597.44
ITEM0000032013,ORD0000032,PROD0014,2,98.63,0.0,98.63,197.26,99.22,CUST01319,2024-08-20,Delivered,Credit Card,0.0,8.14,Mia,Verma,user1319@email.com,North,B2B,Social Media,2024-04-23,40,Female,Hoodie Ultra,Clothing,Hoodie,49.61,3.6,2024,8,Aug,2024Q3,98.03999999999999
ITEM0000034033,ORD0000034,PROD0034,3,507.48,0.1,456.73,1370.19,492.78,CUST01314,2024-06-24,Delivered,Debit Card,0.1,6.17,Aarav,Gupta,user1314@email.com,West,B2C,Referral,2023-08-17,22,Female,Lipstick Elite,Beauty,Lipstick,164.26,4.7,2024,6,Jun,2024Q2,877.4100000000001
ITEM0000034124,ORD0000034,PROD0125,5,1773.27,0.1,1595.94,7979.7,3997.75,CUST01314,2024-06-24,Delivered,Debit Card,0.1,6.17,Aarav,Gupta,user1314@email.com,West,B2C,Referral,2023-08-17,22,Female,Camera Pro,Electronics,Camera,799.55,3.9,2024,6,Jun,2024Q2,3981.95
ITEM0000035021,ORD0000035,PROD0022,1,34.48,0.1,31.03,31.03,23.39,CUST01911,2024-11-03,Delivered,Credit Card,0.1,10.14,Ananya,Johnson,user1911@email.com,North,B2C,Referral,2024-01-12,43,Other,Plant Pot Basic,Home & Garden,Plant Pot,23.39,3.5,2024,11,Nov,2024Q4,7.640000000000001
ITEM0000035005,ORD0000035,PROD0006,3,994.05,0.1,894.64,2683.92,1009.83,CUST01911,2024-11-03,Delivered,Credit Card,0.1,10.14,Ananya,Johnson,user1911@email.com,North,B2C,Referral,2024-01-12,43,Other,Speaker Basic,Electronics,Speaker,336.61,4.9,2024,11,Nov,2024Q4,1674.0900000000001
ITEM0000035002,ORD0000035,PROD0003,1,965.88,0.1,869.29,869.29,336.44,CUST01911,2024-11-03,Delivered,Credit Card,0.1,10.14,Ananya,Johnson,user1911@email.com,North,B2C,Referral,2024-01-12,43,Other,Headphones Plus,Electronics,Headphones,336.44,3.2,2024,11,Nov,2024Q4,532.8499999999999
ITEM0000036080,ORD0000036,PROD0081,5,635.8,0.0,635.8,3179.0,940.95,CUST00642,2024-01-15,Delivered,Debit Card,0.0,4.61,Anjali,Wilson,user642@email.com,Central,B2C,Affiliate,2023-04-13,63,Female,Laptop Ultra,Electronics,Laptop,188.19,3.4,2024,1,Jan,2024Q1,2238.05
ITEM0000037040,ORD0000037,PROD0041,4,539.28,0.1,485.35,1941.4,1289.4,CUST01853,2024-05-31,Delivered,PayPal,0.1,4.55,Ananya,Joshi,user1853@email.com,West,B2B,Organic Search,2022-07-08,20,Female,Laptop Basic,Electronics,Laptop,322.35,4.5,2024,5,May,2024Q2,652.0
ITEM0000037038,ORD0000037,PROD0039,1,781.67,0.1,703.5,703.5,619.01,CUST01853,2024-05-31,Delivered,PayPal,0.1,4.55,Ananya,Joshi,user1853@email.com,West,B2B,Organic Search,2022-07-08,20,Female,Sunscreen Basic,Beauty,Sunscreen,619.01,4.6,2024,5,May,2024Q2,84.49000000000001
ITEM0000037041,ORD0000037,PROD0042,5,1834.5,0.1,1651.05,8255.25,3877.75,CUST01853,2024-05-31,Delivered,PayPal,0.1,4.55,Ananya,Joshi,user1853@email.com,West,B2B,Organic Search,2022-07-08,20,Female,Tablet Ultra,Electronics,Tablet,775.55,3.8,2024,5,May,2024Q2,4377.5
ITEM0000038063,ORD0000038,PROD0064,1,1063.77,0.05,1010.58,1010.58,575.23,CUST01865,2024-03-27,Delivered,Wallet,0.05,7.04,Rohit,Gupta,user1865@email.com,East,B2C,Paid Search,2022-12-03,51,Other,Yoga Mat Ultra,Sports,Yoga Mat,575.23,3.1,2024,3,Mar,2024Q1,435.35
ITEM0000038029,ORD0000038,PROD0030,2,1030.47,0.05,978.95,1957.9,1040.06,CUST01865,2024-03-27,Delivered,Wallet,0.05,7.04,Rohit,Gupta,user1865@email.com,East,B2C,Paid Search,2022-12-03,51,Other,Backpack Ultra,Sports,Backpack,520.03,4.2,2024,3,Mar,2024Q1,917.8400000000001
ITEM0000038037,ORD0000038,PROD0038,4,260.52,0.05,247.49,989.96,661.4,CUST01865,2024-03-27,Delivered,Wallet,0.05,7.04,Rohit,Gupta,user1865@email.com,East,B2C,Paid Search,2022-12-03,51,Other,Eye Cream Elite,Beauty,Eye Cream,165.35,4.8,2024,3,Mar,2024Q1,328.56000000000006
ITEM0000038113,ORD0000038,PROD0114,4,998.72,0.05,948.78,3795.12,2503.48,CUST01865,2024-03-27,Delivered,Wallet,0.05,7.04,Rohit,Gupta,user1865@email.com,East,B2C,Paid Search,2022-12-03,51,Other,Lipstick Basic,Beauty,Lipstick,625.87,2.7,2024,3,Mar,2024Q1,1291.6399999999999
ITEM0000038024,ORD0000038,PROD0025,4,646.45,0.05,614.13,2456.52,1060.08,CUST01865,2024-03-27,Delivered,Wallet,0.05,7.04,Rohit,Gupta,user1865@email.com,East,B2C,Paid Search,2022-12-03,51,Other,Dumbbell Set Elite,Sports,Dumbbell Set,265.02,3.3,2024,3,Mar,2024Q1,1396.44
ITEM0000039046,ORD0000039,PROD0047,1,1473.13,0.05,1399.47,1399.47,670.05,CUST00977,2023-09-24,Delivered,PayPal,0.05,13.96,Liam,Joshi,user977@email.com,North,B2C,Social Media,2023-05-15,22,Male,Monitor Elite,Electronics,Monitor,670.05,5.0,2023,9,Sep,2023Q3,729.4200000000001
ITEM0000039114,ORD0000039,PROD0115,4,1436.45,0.05,1364.63,5458.52,1980.16,CUST00977,2023-09-24,Delivered,PayPal,0.05,13.96,Liam,Joshi,user977@email.com,North,B2C,Social Media,2023-05-15,22,Male,Foundation Plus,Beauty,Foundation,495.04,4.6,2023,9,Sep,2023Q3,3478.3600000000006
ITEM0000041074,ORD0000041,PROD0075,3,433.01,0.15,368.06,1104.18,1032.24,CUST01878,2024-08-29,Delivered,Wallet,0.15,2.96,Rohit,Patel,user1878@email.com,East,B2C,Email,2024-07-31,20,Other,Foundation Ultra,Beauty,Foundation,344.08,2.7,2024,8,Aug,2024Q3,71.94000000000005
ITEM0000041021,ORD0000041,PROD0022,5,34.48,0.15,29.31,146.55,116.95,CUST01878,2024-08-29,Delivered,Wallet,0.15,2.96,Rohit,Patel,user1878@email.com,East,B2C,Email,2024-07-31,20,Other,Plant Pot Basic,Home & Garden,Plant Pot,23.39,3.5,2024,8,Aug,2024Q3,29.60000000000001
